URL,Ignored (Yes/No),Landing page (Yes/No),Tag status
gozupees.com/agentic-ai-solutions/concierge,No,No,Not tagged
gozupees.com/agentic-ai-solutions/data-collection,No,No,Not tagged
gozupees.com/agentic-ai-solutions/lead-reactivation,No,No,Not tagged
gozupees.com/agentic-ai-solutions/sales-qualification,No,No,Not tagged
gozupees.com/agentic-ai-solutions/smart-scheduling,No,No,Not tagged
gozupees.com/ai-agents-by-industry/automobile,No,No,Not tagged
gozupees.com/ai-agents-by-industry/banking,No,No,Not tagged
gozupees.com/ai-agents-by-industry/ecommerce,No,No,Not tagged
gozupees.com/ai-agents-by-industry/insurance,No,No,Not tagged
gozupees.com/ai-agents-by-industry/mortgage-brokers,No,No,Not tagged
gozupees.com/ai-agents-by-industry/recruitment,No,No,Not tagged
gozupees.com/blog/category/education,No,No,Not tagged
gozupees.com/demo-all-in-one-agent,No,No,Not tagged
gozupees.com/newsletters/masters-dtc,No,No,Not tagged
gozupees.com/newsletters/monthly-digest,No,No,Not tagged
gozupees.com/privacy-policy,No,No,Not tagged
gozupees.com/solutions/gp-triage,No,No,Not tagged
gozupees.com/solutions/lead-validation,No,No,Not tagged
gozupees.com/webinars,No,No,Not tagged
gozupees.com/what-we-do,No,No,Tagged
gozupees.com/pricing,No,Yes,Tagged
gozupees.com/,No,Yes,Tagged
gozupees.com/careers,No,No,Tagged
gozupees.com/ai-agents-by-industry/healthcare,No,No,Tagged
gozupees.com/newsletters,No,No,Tagged
gozupees.com/agentic-ai-solutions/business-concierge,No,No,Tagged
gozupees.com/agentic-ai-solutions/customer-service,No,No,Tagged
gozupees.com/integrations,No,Yes,Tagged
gozupees.com/research-reports,No,No,Tagged
gozupees.com/white-papers,No,No,Tagged
gozupees.com/about,No,Yes,Tagged
gozupees.com/case-studies,No,No,Tagged
gozupees.com/events,No,No,Tagged
gozupees.com/contact,No,Yes,Tagged
gozupees.com/ai-agents-by-industry/education,No,No,Tagged
gozupees.com/blog,No,Yes,Tagged
gozupees.com/ai-agents-by-industry/isps-msps,No,No,Tagged
zupees.com/,No,No,Tagged
zupees.com/ai-agents-by-industry/healthcare,No,No,Tagged
82bd32e1-e6dc-48fc-a6a3-40e4eeaf5157-00-2pa2443qifj94.picard.replit.dev/,No,No,Tagged
www.gozupees.com/resources/newsletter,No,Yes,Tagged
gozupees.com/solutions/answering-service,No,Yes,Tagged
gozupees.com/start-here,No,Yes,Tagged
gozupees.com/blog/3-signs-your-business-is-ready-for-its-first-ai-assistant,No,No,Tagged
82bd32e1-e6dc-48fc-a6a3-40e4eeaf5157-00-2pa2443qifj94.picard.replit.dev/case-studies/alternative-investing-ai-customer-service,No,No,Tagged
82bd32e1-e6dc-48fc-a6a3-40e4eeaf5157-00-2pa2443qifj94.picard.replit.dev/case-studies,No,No,Tagged
82bd32e1-e6dc-48fc-a6a3-40e4eeaf5157-00-2pa2443qifj94.picard.replit.dev/case-studies/global-ecommerce-roas-improvement,No,No,Tagged
82bd32e1-e6dc-48fc-a6a3-40e4eeaf5157-00-2pa2443qifj94.picard.replit.dev/case-stuides,No,No,Tagged
gozupees.com/ai-agents-by-industry/telecommunications,No,No,Tagged
gozupees.com/resources/blog/ai-personalization-ecommerce,No,No,Tagged
gozupees.com/podcast,No,Yes,Tagged
gozupees.com/industries/financial-services,No,No,Tagged
gozupees.com/blog/ai-driven-personalization-the-future-of-e-commerce,No,No,Tagged
gozupees.com/industries/healthcare,No,No,Tagged
gozupees.com/solutions/customer-service,No,Yes,Tagged
gozupees.com/agentic-ai-solutions,No,Yes,Tagged
gozupees.com/how-we-work,No,Yes,Tagged
gozupees.com/ai-agents-by-industry/real-estate,No,No,Tagged
www.gozupees.com/,No,No,Tagged
gozupees.com/industries/education,No,No,Tagged
gozupees.com/ethics,No,No,Tagged
gozupees.com/industries/banking,No,No,Tagged
gozupees.com/industries/law-firms,No,No,Tagged
gozupees.com/agentic-ai-solutions/inbound-calls,No,No,Tagged
gozupees.com/demo/multilingual,No,No,Tagged
gozupees.com/demo-multilingual,No,No,Tagged
gozupees.com/agentic-ai-solutions/receptionist,No,No,Tagged
gozupees.com/agents/customer-support-property-management,No,No,Tagged
school.zupees.com/login,No,No,Tagged
go.zupees.com/lp-marketing-audit-2025-strategy,No,Yes,Tagged
